"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"835552682727309313","","45790332","2017-02-25 18:10:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LORDMWESH 2013 Elections voter turnout https://t.co/ui1v0ReeBG @teacherkaris @JWalu","","","","http://rpubs.com/mutuvi/voter_turnout_2013"
"835442066712854528","835437071649091584","3333216340","2017-02-25 10:51:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@howmuch_net thank you","","","",""
"835425772215087106","834391341077561345","3333216340","2017-02-25 09:46:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@howmuch_net nice visualization. What chart type is this, just curious","","","",""
"834821491942363136","834820172976422913","45790332","2017-02-23 17:45:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH @teacherkaris @kibunjax will share the totals per party shortly","","","",""
"834821089821917185","834820172976422913","45790332","2017-02-23 17:43:52 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH @teacherkaris @kibunjax in 2013 the voter turn out was in favour of Jubilee.will compare registerd voters then against turn out","","","",""
"834805061205237761","834804111224799232","45790332","2017-02-23 16:40:11 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH @teacherkaris @kibunjax NASA appears to have more numbers. The turn out during the voting day may be their undoing","","","",""
"834804687039774720","834804524049104898","45790332","2017-02-23 16:38:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH sorry that I updated and forgot to publish","","","",""
"834749103066189824","","45790332","2017-02-23 12:57:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@lordmwesh @teacherkaris @kibunjax Newly registered voters per county https://t.co/h89fYUlI56","","","","https://exploratory.io/viz/3715927491520200/1739960454455596?cb=1487854136979"
"834740306285305856","","45790332","2017-02-23 12:22:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LORDMWESH Voter Registration Percentage Increase across the 47 counties https://t.co/OjpdgTJ78H","","","","https://exploratory.io/viz/3715927491520200/4191779882898494?cb=1487852340470"
"830149175480242176","","","2017-02-10 20:19:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @C_NyaKundiH: The cartel controlled media has stopped covering the lecs and docs strike , now covering politics . Kenyan media speaks fo…","829770879420788736","961621302","2017-02-09 19:16:08 +0000",""
"827495289976143872","","","2017-02-03 12:33:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""2013 Voter Registration Analysis"" by 3715927491520200 https://t.co/LyWOSybLL0 @teacherkaris, @LORDMWESH @kibunjax @JWalu","","","","https://exploratory.io/viz/3715927491520200/7941520521949762?cb=1486124836849"
"827494194625314817","","","2017-02-03 12:29:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""2013 Voter Registration Analysis"" by 3715927491520200 https://t.co/LyWOSybLL0","","","","https://exploratory.io/viz/3715927491520200/7941520521949762?cb=1486124836849"
"827105498457575424","827100334166257664","115281083","2017-02-02 10:44:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LORDMWESH @kibunjax 2013 voter registration visualization https://t.co/o83l5JHyrr","","","","https://twitter.com/Mutuvi/status/827100334166257664"
"827100334166257664","","","2017-02-02 10:24:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Voter Registration 2013"" by 3715927491520200 https://t.co/oZPxndTcBV","","","","https://exploratory.io/viz/3715927491520200/1320836966622354?cb=1486030996213"
"825665945213480962","825530035759173632","36309496","2017-01-29 11:24:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kibunjax @LORDMWESH lol.","","","",""
"825413977052217345","825413241941663746","45790332","2017-01-28 18:43:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH so sad. It's going to get worse. May be @kibunjax Should tell us what he thinks about jp gov scorecard #unmetpledges","","","",""
"825230675515056128","","45790332","2017-01-28 06:34:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH Perhaps the next hot hash tag could be #unmetpledges","","","",""
"823536447793807360","823520479419990016","255964842","2017-01-23 14:22:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kimathimutegi @KeNHAKenya @Machukah @atanasi_ overspending means greater than normal speed","","","",""
"812688860614447104","","","2016-12-24 15:58:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ahmednasirlaw: Look at this...the kids even dont have shoes...why doesn't Mutua buy the kids shoes? This is kenya for you @WehliyeMoham…","812369249838755841","401579858","2016-12-23 18:48:16 +0000","https://twitter.com/ahmednasirlaw/status/812369249838755841/photo/1"
"809289585192599557","809232933936648194","45790332","2016-12-15 06:50:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH @kibunjax biggest in EPL","","","",""
"809289492532064257","809232933936648194","45790332","2016-12-15 06:50:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LORDMWESH @kibunjax lol. It's the biggest team, maybe!","","","",""
"807667119605194752","","36309496","2016-12-10 19:23:41 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kibunjax .@LORDMWESH The team is at the top of the premier league. This could at last be the season the team has been waiting for:)","","","",""
"788969319866703872","","","2016-10-20 05:05:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_codejitsu: „#Kafka is like oxygen. Saying you use Kafka is like saying you use Linux… It's the least interesting thing you can say in…","788623022550908928","3370311915","2016-10-19 06:09:15 +0000",""
"786846857947480065","786704259215687680","45790332","2016-10-14 08:31:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@LORDMWESH great job","","","",""
"778118948621578240","778100787557859333","845149093","2016-09-20 06:29:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@teacherkaris @multimedia_uni @JWalu looking forward to the discussion","","","",""
